rank,global_idx,seq_idx,file,frame_abs,n_atoms,score,dF,dF_max,dE,dV
0,12,3,./md_pools/TS5_500K/nve_51.lammpstrj,300,98,0.36737312866265254,0.36737312866265254,0.36737312866265254,0.009715427717509655,21.572791387583912
1,28,3,./md_pools/TS5_500K/nve_53.lammpstrj,300,98,0.20108945467243908,0.20108945467243908,0.20108945467243908,0.007986792709206174,22.579774451319743
2,45,4,./md_pools/TS5_500K/nve_55.lammpstrj,400,98,0.16110044786274874,0.16110044786274874,0.16110044786274874,0.018763578193552274,23.021151437075673
3,11,2,./md_pools/TS5_500K/nve_51.lammpstrj,200,98,0.14647457698137872,0.14647457698137872,0.14647457698137872,0.027604342316277418,20.638169393086518
4,35,2,./md_pools/TS5_500K/nve_54.lammpstrj,200,98,0.1451541288455121,0.1451541288455121,0.1451541288455121,0.03037701561947176,20.926031283634924
5,43,2,./md_pools/TS5_500K/nve_55.lammpstrj,200,98,0.13606361310451556,0.13606361310451556,0.13606361310451556,0.06787439625934052,20.60696483836707
6,27,2,./md_pools/TS5_500K/nve_53.lammpstrj,200,98,0.12231336188550355,0.12231336188550355,0.12231336188550355,0.014288234812852844,22.46386770232227
7,23,6,./md_pools/TS5_500K/nve_52.lammpstrj,600,98,0.11075874632649231,0.11075874632649231,0.11075874632649231,0.003711107216299531,22.014883205969333
8,14,5,./md_pools/TS5_500K/nve_51.lammpstrj,500,98,0.09716462948899003,0.09716462948899003,0.09716462948899003,0.022295525195153848,22.64932208910572
9,19,2,./md_pools/TS5_500K/nve_52.lammpstrj,200,98,0.08448718633820153,0.08448718633820153,0.08448718633820153,0.016727584842336572,21.211931040409137
10,2,2,./md_pools/TS5_500K/nve_50.lammpstrj,200,98,0.07076935877875207,0.07076935877875207,0.07076935877875207,0.04188094551139048,19.951405748168057
11,36,3,./md_pools/TS5_500K/nve_54.lammpstrj,300,98,0.07049808255664483,0.07049808255664483,0.07049808255664483,0.032660186477001064,21.168711718120406
12,13,4,./md_pools/TS5_500K/nve_51.lammpstrj,400,98,0.07043027925179361,0.07043027925179361,0.07043027925179361,0.007538156578315389,22.54213781470362
13,34,1,./md_pools/TS5_500K/nve_54.lammpstrj,100,98,0.0557963210803539,0.0557963210803539,0.0557963210803539,0.02309216206869785,19.519885462801874
14,3,3,./md_pools/TS5_500K/nve_50.lammpstrj,300,98,0.053925476670286736,0.053925476670286736,0.053925476670286736,0.04330052034084027,21.960984835121312
15,24,7,./md_pools/TS5_500K/nve_52.lammpstrj,700,98,0.05379426230590902,0.05379426230590902,0.05379426230590902,0.0022321753822977636,19.448928433960567
16,25,0,./md_pools/TS5_500K/nve_53.lammpstrj,0,98,0.05341607375492431,0.05341607375492431,0.05341607375492431,0.018876314593299526,21.267620147113025
17,32,7,./md_pools/TS5_500K/nve_53.lammpstrj,700,98,0.053326551205708665,0.053326551205708665,0.053326551205708665,0.0121107679612077,15.891154506126068
18,29,4,./md_pools/TS5_500K/nve_53.lammpstrj,400,98,0.05109924708608783,0.05109924708608783,0.05109924708608783,0.021323937011281345,21.82548980157116
19,44,3,./md_pools/TS5_500K/nve_55.lammpstrj,300,98,0.05095381843569598,0.05095381843569598,0.05095381843569598,0.0436436733878653,22.25953280797209
